2024-10-12 03:44:43 DEBUG TestNG:82 - suiteXmlPath: "C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml"
2024-10-12 03:44:44 INFO  Utils:112 - [TestNG] Running:
  C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml

2024-10-12 03:45:49 DEBUG TestNG:82 - suiteXmlPath: "C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml"
2024-10-12 03:45:49 INFO  Utils:112 - [TestNG] Running:
  C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml

2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:20 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:23 INFO  UserTests:45 - ****************Creating usuer******************
2024-10-12 04:48:24 INFO  UserTests:49 - ***************user created*********************
2024-10-12 04:48:24 INFO  UserTests:54 - ***************testGetUserByName()  starts*********************
2024-10-12 04:48:26 INFO  UserTests:59 - ***************testGetUserByName()   ends*********************
2024-10-12 04:48:26 INFO  UserTests:64 - ***************testUpdateUserByName()   starts*********************
